your last name,date of Polar Low Occurance,Aqua or Terra?,"How confident are you that this is actually a polar low [1 for low, 2 for high]",latitude of box top,longitude of box right side,latitude of box bottom,longitude of box left side,file name of PNG,
Gupta,6/2/2018,Terra,1,60.137,-137.4986,51.3497,-146.2858,180602_MG1.png,
Gupta,6/2/2018,Terra,1,53.0721,-10.7558,44.282,-19.5459,180602_MG2.png,
Gupta,6/3/2018,Terra,1,50.1343,-7.1984,41.439,-15.9837,180603_MG1.png,
Gupta,6/3/2018,Terra,1,60.0808,-138.0295,51.2894,-146.8209,180603_MG2.png,
Gupta,6/3/2018,Terra,1,60.0808,-138.0295,51.2894,-146.8209,180603_MG3.png,
Gupta,6/4/2018,Terra,2,-49.2477,111.2775,-58.0336,102.4917,180604_MG1.png,
Gupta,6/5/2018,Terra,2,58.9141,-41.7347,50.1246,-50.5241,180605_MG1.png,
Gupta,6/5/2018,Terra,1,58.8107,-41.9866,50.0178,-50.7795,180605_MG2.png,
Gupta,6/6/2018,Terra,1,-43.9112,127.222,-52.6977,118.4355,180606_MG1.png,
Greiner,6/8/2018,Terra,2,61.9214,-5.3007,53.1272,-14.095,180608_JG1.png,
Greiner,6/8/2018,Aqua,2,-40.1483,102.4617,-48.9474,93.6625,180608_JG2.png,
Greiner,6/9/2018,Terra,1,51.4715,-33.5371,42.673,-42.3357,180609_JG1.png,
Greiner,6/9/2018,Aqua,2,52.919,-161.7187,44.1122,-170.5255,180609_JG2.png,
Greiner,6/13/2018,Aqua,2,56.8757,-131.669,48.0814,-140.4634,180613_JG1.png,
Greiner,6/14/2018,Aqua,1,-40.7485,-164.6687,-49.5366,-173.4568,180614_JG1.png,
Greiner,6/14/2018,Terra,2,49.9406,-163.8478,41.1561,-172.6323,180614_JG2.png,
Greiner,6/14/2018,Terra,2,56.7156,-132.7553,47.9334,-141.5374,180614_JG4.png,
Greiner,6/15/2018,Terra,2,-43.4693,-164.6619,-52.2725,-173.465,180615_JG2.png,
Greiner,6/16/2018,Aqua,2,59.688,-46.7619,50.8977,-55.5523,180616_JG1.png,
Le,6/17/2018,Terra,2,62.7012,-16.5586,53.9121,-25.3477,180617_JL1.png,
Le,6/17/2018,Terra,1,-50.8535,-90,-59.6426,-98.7891,180617_JL2.png,
Le,6/18/2018,Terra,2,68.1768,-33.3633,59.3877,-42.1523,180618_JL1.png,
Le,6/18/2018,Terra,2,68.3701,-3.5332,59.5811,-12.3223,180618_JL2.png,
